20;Bagalkot;416846;288066;704912;224542.0;183958;408500;641388;472024;1113412;75.77;52.58;64.20;86.55;70.65;78.58;79.23;58.40;68.82;23;680;105787;95084;200871;1274;59406;57321;116727;517;35098;32909;68007;317598;5126;4469;9595;33;68007;2468;1697;4165;16;165193;152405;317598;207;198;405;0.13;1954;1926;1925;1856;1076;599;1783;1930;1648;143;517;502;502;482;384;150;452;502;441;34;142;882;270;5870;8153;9247;6894;6202;5927;21319;20974;15;4648;3225;7873;42;11828;8588;20416;4.68;0;0;0;0;6;609;731;1340;0;0;0;0;1;264;235;499;0;0;0;0;1;90;243;333;4;339;93;432;5;618;182;800;0;0;0;0;3;447;286;733
21;Dharwad;289171;212783;501954;422605.0;377105;799710;711776;589888;1301664;80.98;62.72;72.09;90.49;81.31;85.92;86.37;73.46;80.00;7;344;88471;81773;170244;927;50708;48250;98958;451;30983;28691;59674;269202;3326;4600;7926;34;59674;1636;2064;3700;16;131163;123000;254163;67;84;151;0.06;1271;1258;1259;1246;1048;885;1110;1255;891;905;451;449;450;443;405;317;386;446;207;357;167;627;535;1526;1745;2731;3091;9165;8532;13422;13368;9;1275;1748;3023;17;2343;2668;5011;1.33;0;0;0;0;3;213;342;555;1;365;186;551;1;156;181;337;0;0;0;0;1;96;249;345;2;178;359;537;12;1263;346;1609;0;0;0;0;5;932;559;1491
22;Gadag;250701;178972;429673;146477.0;124027;270504;397178;302999;700177;82.83;60.62;71.86;88.01;73.92;80.94;84.66;65.44;75.12;14;282;49974;46434;96408;649;28200;27514;55714;323;16222;15488;31710;152122;2029;2869;4898;31;31710;892;1291;2183;15;78174;73948;152122;200;188;388;0.26;931;616;616;616;461;409;571;616;616;119;323;113;113;112;100;54;91;113;112;111;101;547;197;2491;4145;4285;4350;2982;2541;9758;11036;9;2263;3490;5753;14;2666;2834;5500;1.86;0;0;0;0;4;582;502;1084;1;250;193;443;0;0;0;0;0;0;0;0;0;0;0;0;2;442;145;587;6;1035;328;1363;0;0;0;0;3;1851;1348;3199
23;Haveri;465603;359498;825101;138190.0;122152;260342;603793;481650;1085443;83.05;67.89;75.69;87.39;79.29;83.39;84.00;70.45;77.40;10;581;71633;69550;141183;942;38032;35981;74013;389;23833;22511;46344;215196;3988;3600;7588;28;46344;1759;1117;2876;16;109665;105531;215196;78;44;122;0.06;1523;1518;1517;1468;1421;1043;1447;1513;1453;468;389;388;386;384;347;119;344;387;363;346;129;629;194;3430;4889;5946;7308;2265;2677;11641;14874;12;4436;4986;9422;15;4294;4502;8796;3.01;0;0;0;0;1;123;114;237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;452;98;550;4;793;189;982;1;488;399;887;1;338;246;584
24;Uttara Kannada;403419;337710;741129;178680.0;162097;340777;582099;499807;1081906;87.63;74.87;81.31;94.49;86.91;90.73;89.63;78.39;84.06;4;1113;52503;51375;103878;1150;32507;30307;62814;370;21015;19855;40870;166692;2642;4443;7085;24;40870;1329;1293;2622;16;85007;81678;166685;42;23;65;0.04;2263;2162;2168;2209;1403;1509;1817;2243;1335;595;370;364;366;356;319;127;307;366;261;326;99;528;370;5218;7700;3607;4249;3200;3263;12025;15212;15;4678;7668;12346;26;3893;5983;9876;3.67;1;347;253;600;1;171;279;450;1;98;52;150;0;0;0;0;0;0;0;0;0;0;0;0;4;1363;439;1802;4;1397;287;1684;1;387;212;599;3;1482;786;2268
25;Ballari;564990;393647;958637;351303.0;290484;641787;916293;684131;1600424;73.06;51.96;62.62;83.24;69.50;76.40;76.65;58.20;67.50;12;874;148051;137871;285922;1636;82154;79325;161479;678;46812;41268;88080;447401;7632;6041;13673;33;88080;3139;2545;5684;15;230205;217196;447401;269;183;452;0.10;2510;2501;2501;2303;1255;1301;2300;2501;2145;269;678;670;670;608;510;293;614;670;606;366;149;1172;774;8948;11626;5433;4860;7901;7531;22282;24017;15;10792;7331;18123;7;3516;4609;8125;4.34;1;111;176;287;1;135;105;240;1;328;156;484;0;0;0;0;1;52;72;124;0;0;0;0;4;1450;385;1835;9;3912;623;4535;1;48;27;75;3;707;527;1234
26;Bidar;430681;309030;739711;166517.0;136445;302962;597198;445475;1042673;76.28;56.82;66.73;87.42;75.88;81.81;79.09;61.55;70.51;19;732;96184;86371;182555;1317;104782;98817;203599;594;58074;50732;108806;386154;4997;5258;10255;38;108806;2345;1271;3616;30;147548;134893;282441;200;181;381;0.13;2049;2082;2086;1992;1707;1797;1524;2109;2113;824;594;580;580;570;462;557;459;556;664;373;173;1052;334;959;2757;4119;4432;10546;10117;15624;17306;10;2573;3136;5709;15;3232;4831;8063;2.28;0;0;0;0;3;298;466;764;1;197;189;386;0;0;0;0;0;0;0;0;2;37;187;224;2;284;95;379;4;220;19;239;0;0;0;0;4;586;369;955
27;Kalburgi;506799;333277;840076;323065.0;264227;587292;829864;597504;1427368;69.08;46.86;58.09;85.12;71.91;78.61;74.38;55.09;64.85;27;1040;143457;134196;277653;1951;88885;83187;172072;872;49010;40125;89135;449725;8161;5402;13563;33;89135;3683;2189;5872;15;197754;182544;267985;230;211;441;0.16;2991;1770;1770;1770;618;1770;1565;1770;1344;164;872;293;293;293;174;293;257;293;248;0;259;317;152;8265;7572;4882;4998;9998;11290;23145;23860;10;5086;5621;10707;17;3365;4652;8017;3.09;2;400;356;756;2;556;390;946;2;400;356;756;2;556;390;946;1;27;65;92;2;141;430;571;3;275;105;380;9;538;107;645;0;0;0;0;6;4747;3258;8005
28;Yadgir;230998;143246;374244;75753.0;60006;135759;306751;203252;510003;58.02;36.05;47.05;80.03;63.92;72.01;62.25;41.38;51.83;30;578;75224;67165;142389;750;38114;36283;74397;250;17287;14408;31695;216786;2121;1279;3400;64;31695;626;277;903;35;120173;109687;229860;246;247;493;0.21;1328;928;928;928;417;502;657;928;638;99;250;122;122;122;89;58;114;122;99;97;92;436;142;3230;3370;1304;559;2738;2510;7272;6439;7;3719;2134;5853;2;1158;351;1509;1.22;0;0;0;0;0;0;0;0;0;0;0;0;1;30;62;92;0;0;0;0;0;0;0;0;1;41;3;44;4;220;8;228;0;0;0;0;1;70;40;110
29;Raichur;399587;259853;659440;177626.0;142703;320329;577213;402556;979769;66.01;42.36;54.11;83.10;67.10;75.12;70.47;48.73;59.56;29;899;112652;104163;216815;1254;58016;56026;114042;481;32238;28132;60370;330857;3422;2751;6173;54;60370;1420;497;1917;31;170668;160189;330857;229;249;478;0.14;2153;2150;2148;1898;886;528;1989;2020;1777;144;481;478;477;404;318;100;453;476;403;61;174;555;225;2870;4147;1459;690;11383;9155;15712;13992;14;6505;4256;10761;5;1580;1751;3331;2.33;0;0;0;0;0;0;0;0;1;193;163;356;1;280;239;519;0;0;0;0;2;104;275;379;3;320;96;416;2;261;26;287;1;135;97;232;2;154;118;272
30;Koppal;359087;250597;609684;109698.0;89703;199401;468785;340300;809085;77.12;54.85;66.05;85.48;70.59;78.03;78.54;57.55;68.09;24;565;18490;17170;35660;854;99190;93088;192278;300;22858;20759;43617;227938;3669;3201;6870;33;43617;1888;616;2504;17;123964;115940;239904;145;94;239;0.10;1419;1934;1957;1192;1240;1225;1107;1278;1140;1163;300;1193;1284;300;300;124;300;359;300;142;100;145;26;4690;5629;2724;2248;4384;3527;11798;11404;15;6029;4094;10123;4;1403;1108;2511;2.09;1;106;44;150;1;255;230;485;1;63;87;150;0;0;0;0;0;0;0;0;0;0;0;0;3;166;15;181;3;90;21;111;0;0;0;0;0;0;0;0
